timestamp,total_people,new,Entrance
2025-12-29 10:06:02,5,3,2
2025-12-29 10:06:02,5,3,2
2025-12-29 10:06:02,5,3,2
2025-12-29 10:06:03,6,3,3
2025-12-29 10:06:03,5,3,2
2025-12-29 10:06:03,6,3,3
2025-12-29 10:06:03,6,3,3
2025-12-29 10:06:03,6,3,3
2025-12-29 10:06:03,5,2,3
2025-12-29 10:06:03,6,3,3
2025-12-29 10:06:04,6,3,3
2025-12-29 10:06:04,6,3,3
2025-12-29 10:06:04,6,3,3
2025-12-29 10:06:04,6,3,3
2025-12-29 10:06:04,6,3,3
2025-12-29 10:06:04,7,3,4
2025-12-29 10:06:04,5,2,3
2025-12-29 10:06:05,6,2,4
2025-12-29 10:06:05,6,2,4
2025-12-29 10:06:05,6,2,4
2025-12-29 10:06:05,6,2,4
2025-12-29 10:06:05,6,2,4
2025-12-29 10:06:05,6,2,4
2025-12-29 10:06:06,6,2,4
2025-12-29 10:06:06,6,2,4
2025-12-29 10:06:06,5,2,3
2025-12-29 10:06:06,6,2,4
2025-12-29 10:06:06,6,2,4
2025-12-29 10:06:06,6,2,4
2025-12-29 10:06:06,6,2,4
2025-12-29 10:06:07,6,2,4
2025-12-29 10:06:07,6,2,4
2025-12-29 10:06:07,6,2,4
2025-12-29 10:06:07,6,2,4
2025-12-29 10:06:07,6,2,4
2025-12-29 10:06:07,6,2,4
2025-12-29 10:06:07,6,2,4
2025-12-29 10:06:08,5,2,3
2025-12-29 10:06:08,6,2,4
2025-12-29 10:06:08,6,2,4
2025-12-29 10:06:08,6,2,4
2025-12-29 10:06:08,6,2,4
2025-12-29 10:06:08,8,2,6
2025-12-29 10:06:09,8,2,6
2025-12-29 10:06:09,7,2,5
2025-12-29 10:06:09,9,3,6
2025-12-29 10:06:09,9,3,6
2025-12-29 10:06:09,8,3,5
2025-12-29 10:06:09,8,3,5
2025-12-29 10:06:09,8,3,5
2025-12-29 10:06:10,8,3,5
2025-12-29 10:06:10,8,3,5
2025-12-29 10:06:10,8,3,5
2025-12-29 10:06:10,9,3,6
2025-12-29 10:06:10,10,4,6
2025-12-29 10:06:10,10,4,6
2025-12-29 10:06:10,10,4,6
2025-12-29 10:06:11,10,4,6
2025-12-29 10:06:11,10,4,6
2025-12-29 10:06:11,10,4,6
2025-12-29 10:06:11,10,4,6
2025-12-29 10:06:11,10,4,6
2025-12-29 10:06:11,10,4,6
2025-12-29 10:06:12,9,4,5
2025-12-29 10:06:12,9,4,5
2025-12-29 10:06:12,9,4,5
2025-12-29 10:06:12,9,4,5
2025-12-29 10:06:12,9,4,5
2025-12-29 10:06:12,9,4,5
2025-12-29 10:06:12,9,4,5
2025-12-29 10:06:13,10,4,6
2025-12-29 10:06:13,10,4,6
2025-12-29 10:06:13,10,4,6
2025-12-29 10:06:13,10,4,6
2025-12-29 10:06:13,9,4,5
2025-12-29 10:06:13,9,4,5
2025-12-29 10:06:13,9,4,5
2025-12-29 10:06:14,9,4,5
2025-12-29 10:06:14,10,4,6
2025-12-29 10:06:14,10,4,6
2025-12-29 10:06:14,10,4,6
2025-12-29 10:06:14,10,4,6
2025-12-29 10:06:14,10,4,6
2025-12-29 10:06:14,9,4,5
2025-12-29 10:06:15,9,4,5
2025-12-29 10:06:15,9,4,5
2025-12-29 10:06:15,9,4,5
2025-12-29 10:06:15,9,4,5
2025-12-29 10:06:15,9,4,5
2025-12-29 10:06:15,9,4,5
2025-12-29 10:06:15,8,3,5
2025-12-29 10:06:16,8,3,5
2025-12-29 10:06:16,8,3,5
2025-12-29 10:06:16,8,3,5
2025-12-29 10:06:16,7,2,5
2025-12-29 10:06:16,7,2,5
2025-12-29 10:06:16,7,2,5
2025-12-29 10:06:16,7,2,5
2025-12-29 10:06:17,7,2,5
2025-12-29 10:06:17,6,1,5
2025-12-29 10:06:17,7,2,5
2025-12-29 10:06:17,7,2,5
2025-12-29 10:06:17,7,2,5
2025-12-29 10:06:17,7,2,5
2025-12-29 10:06:17,7,2,5
2025-12-29 10:06:18,7,2,5
2025-12-29 10:06:18,7,2,5
2025-12-29 10:06:18,7,2,5
2025-12-29 10:06:18,7,2,5
2025-12-29 10:06:18,8,3,5
2025-12-29 10:06:18,7,2,5
2025-12-29 10:06:18,7,2,5
2025-12-29 10:06:19,7,2,5
2025-12-29 10:06:19,7,2,5
2025-12-29 10:06:19,7,2,5
2025-12-29 10:06:19,7,2,5
2025-12-29 10:06:19,6,2,4
2025-12-29 10:06:19,6,2,4
2025-12-29 10:06:20,6,2,4
2025-12-29 10:06:20,6,2,4
2025-12-29 10:06:20,6,2,4
2025-12-29 10:06:20,6,2,4
2025-12-29 10:06:20,6,2,4
2025-12-29 10:06:20,6,2,4
2025-12-29 10:06:20,6,2,4
2025-12-29 10:06:21,6,2,4
2025-12-29 10:06:21,6,2,4
2025-12-29 10:06:21,5,1,4
2025-12-29 10:06:21,5,1,4
2025-12-29 10:06:21,5,1,4
2025-12-29 10:06:21,5,1,4
2025-12-29 10:06:21,5,1,4
2025-12-29 10:06:22,5,1,4
2025-12-29 10:06:22,5,1,4
2025-12-29 10:06:22,5,1,4
2025-12-29 10:06:22,6,2,4
2025-12-29 10:06:22,6,2,4
2025-12-29 10:06:22,6,2,4
2025-12-29 10:06:23,6,2,4
2025-12-29 10:06:23,6,2,4
2025-12-29 10:06:23,6,2,4
2025-12-29 10:06:23,6,2,4
2025-12-29 10:06:23,6,2,4
2025-12-29 10:06:23,6,2,4
2025-12-29 10:06:23,6,2,4
2025-12-29 10:06:24,6,2,4
2025-12-29 10:06:24,6,2,4
2025-12-29 10:06:24,7,2,5
2025-12-29 10:06:24,6,2,4
2025-12-29 10:06:24,6,2,4
2025-12-29 10:06:24,7,2,5
2025-12-29 10:06:24,7,2,5
2025-12-29 10:06:25,6,2,4
2025-12-29 10:06:25,7,2,5
2025-12-29 10:06:25,6,2,4
2025-12-29 10:06:25,5,2,3
2025-12-29 10:06:25,5,2,3
2025-12-29 10:06:25,6,2,4
2025-12-29 10:06:25,7,2,5
2025-12-29 10:06:26,6,2,4
2025-12-29 10:06:26,5,1,4
2025-12-29 10:06:26,5,1,4
2025-12-29 10:06:26,5,1,4
2025-12-29 10:06:26,6,1,5
2025-12-29 10:06:26,5,1,4
2025-12-29 10:06:27,4,1,3
2025-12-29 10:06:27,5,1,4
2025-12-29 10:06:27,5,1,4
2025-12-29 10:06:27,5,1,4
2025-12-29 10:06:27,5,1,4
2025-12-29 10:06:27,6,1,5
2025-12-29 10:06:27,6,1,5
2025-12-29 10:06:27,6,1,5
2025-12-29 10:06:28,6,1,5
2025-12-29 10:06:28,6,1,5
2025-12-29 10:06:28,6,1,5
2025-12-29 10:06:28,6,1,5
2025-12-29 10:06:28,6,1,5
2025-12-29 10:06:28,6,1,5
2025-12-29 10:06:29,6,1,5
2025-12-29 10:06:29,6,1,5
2025-12-29 10:06:29,6,1,5
2025-12-29 10:06:29,6,1,5
2025-12-29 10:06:29,6,1,5
2025-12-29 10:06:29,6,1,5
2025-12-29 10:06:29,6,1,5
2025-12-29 10:06:30,5,1,4
2025-12-29 10:06:30,5,1,4
2025-12-29 10:06:30,5,1,4
2025-12-29 10:06:30,5,1,4
2025-12-29 10:06:30,5,1,4
2025-12-29 10:06:30,5,1,4
2025-12-29 10:06:30,5,1,4
2025-12-29 10:06:31,5,1,4
2025-12-29 10:06:31,5,1,4
2025-12-29 10:06:31,5,1,4
2025-12-29 10:06:31,5,1,4
2025-12-29 10:06:31,5,1,4
2025-12-29 10:06:31,5,1,4
2025-12-29 10:06:32,5,1,4
2025-12-29 10:06:32,5,1,4
2025-12-29 10:06:32,5,1,4
2025-12-29 10:06:32,5,1,4
2025-12-29 10:06:32,4,1,3
2025-12-29 10:06:32,5,2,3
2025-12-29 10:06:32,6,2,4
2025-12-29 10:06:33,6,1,5
2025-12-29 10:06:33,7,2,5
2025-12-29 10:06:33,7,2,5
2025-12-29 10:06:33,6,1,5
2025-12-29 10:06:33,6,1,5
2025-12-29 10:06:33,6,1,5
2025-12-29 10:06:33,6,1,5
2025-12-29 10:06:34,6,1,5
2025-12-29 10:06:34,7,2,5
2025-12-29 10:06:34,5,1,4
2025-12-29 10:06:34,5,2,3
2025-12-29 10:06:34,5,1,4
2025-12-29 10:06:34,5,1,4
2025-12-29 10:06:34,5,1,4
2025-12-29 10:06:35,5,1,4
2025-12-29 10:06:35,5,1,4
2025-12-29 10:06:35,5,1,4
2025-12-29 10:06:35,5,1,4
2025-12-29 10:06:35,6,1,5
2025-12-29 10:06:35,6,1,5
2025-12-29 10:06:36,6,1,5
2025-12-29 10:06:36,5,1,4
2025-12-29 10:06:36,5,1,4
2025-12-29 10:06:36,5,1,4
2025-12-29 10:06:36,4,1,3
2025-12-29 10:06:36,5,1,4
2025-12-29 10:06:36,6,1,5
2025-12-29 10:06:37,6,1,5
2025-12-29 10:06:37,4,1,3
2025-12-29 10:06:37,5,1,4
2025-12-29 10:06:37,4,1,3
2025-12-29 10:06:37,5,1,4
2025-12-29 10:06:37,6,2,4
2025-12-29 10:06:37,6,2,4
2025-12-29 10:06:38,4,1,3
2025-12-29 10:06:38,5,1,4
2025-12-29 10:06:38,4,1,3
2025-12-29 10:06:38,4,1,3
2025-12-29 10:06:38,3,1,2
2025-12-29 10:06:38,3,1,2
2025-12-29 10:06:39,4,1,3
2025-12-29 10:06:39,4,1,3
2025-12-29 10:06:39,4,1,3
2025-12-29 10:06:39,4,1,3
2025-12-29 10:06:39,4,1,3
2025-12-29 10:06:39,4,1,3
2025-12-29 10:06:39,4,1,3
2025-12-29 10:06:40,4,1,3
2025-12-29 10:06:40,4,1,3
2025-12-29 10:06:40,4,1,3
2025-12-29 10:06:40,4,1,3
2025-12-29 10:06:40,3,1,2
2025-12-29 10:06:40,4,1,3
2025-12-29 10:06:41,4,1,3
2025-12-29 10:06:41,3,1,2
